index,Date,Open,High,Low,Close,Volume,OpenInt
0,2005-02-25,37.137,37.338,36.981,37.265,2313344,0
1,2005-02-28,37.357,37.357,36.853,37.082,982856,0
2,2005-03-01,37.2,37.247,36.882,37.082,1173677,0
3,2005-03-02,36.653,36.945,36.561,36.598,1892228,0
4,2005-03-03,36.935,36.945,36.524,36.762,2232860,0
5,2005-03-04,37.092,37.301,36.991,37.191,1148633,0
6,2005-03-07,36.953,37.311,36.899,37.2,1016209,0
7,2005-03-08,37.613,37.86,37.474000000000004,37.704,1384069,0
8,2005-03-09,37.374,37.76,37.374,37.458,1012818,0
9,2005-03-10,37.567,37.711999999999996,37.348,37.585,1382102,0
10,2005-03-11,37.594,37.887,37.239000000000004,37.357,1736401,0
11,2005-03-14,37.329,37.613,37.22,37.467,1017522,0
12,2005-03-15,37.449,37.449,36.945,36.945,1921318,0
13,2005-03-16,37.073,37.229,36.826,36.826,1962433,0
14,2005-03-17,36.899,36.991,36.662,36.809,880064,0
15,2005-03-18,36.809,36.818000000000005,36.479,36.698,1594135,0
16,2005-03-21,36.488,36.488,36.122,36.286,1485002,0
17,2005-03-22,36.330999999999996,36.57,35.81,35.949,1450227,0
18,2005-03-23,36.021,36.442,36.013000000000005,36.314,2744409,0
19,2005-03-24,36.708,36.853,36.369,36.369,1022879,0
20,2005-03-28,36.488,36.57,36.249,36.405,819922,0
21,2005-03-29,36.36,36.58,35.893,36.103,1611959,0
22,2005-03-30,36.497,36.861999999999995,36.497,36.789,1345030,0
23,2005-03-31,37.063,37.126999999999995,36.615,36.653,1317582,0
24,2005-04-01,36.918,36.945,36.223,36.314,1454382,0
25,2005-04-04,35.884,36.249,35.711,36.132,1321411,0
26,2005-04-05,35.984,36.049,35.82,35.856,1617317,0
27,2005-04-06,35.583,35.619,35.399,35.454,2466436,0
28,2005-04-07,35.702,35.72,35.409,35.563,2815051,0
29,2005-04-08,35.409,35.629,35.253,35.463,1106316,0
30,2005-04-11,35.884,35.921,35.646,35.738,1579155,0
31,2005-04-12,35.51,35.839,35.234,35.81,1580467,0
32,2005-04-13,35.665,35.665,35.107,35.161,1931923,0
33,2005-04-14,35.115,35.171,34.631,34.695,2921342,0
34,2005-04-15,34.457,34.476,33.763000000000005,33.8,4091627,0
