index,Date,Open,High,Low,Close,Volume,OpenInt
0,1972-01-07,0.01592,0.01592,0.01592,0.01592,3787746,0
1,1972-01-14,0.007909999999999999,0.007909999999999999,0.007909999999999999,0.007909999999999999,7878523,0
2,1972-01-21,0.007909999999999999,0.007909999999999999,0.007909999999999999,0.007909999999999999,1060564,0
3,1972-01-24,0.007909999999999999,0.007909999999999999,0.007909999999999999,0.007909999999999999,6060405,0
4,1972-01-25,0.007909999999999999,0.007909999999999999,0.007909999999999999,0.007909999999999999,1060564,0
5,1972-01-26,0.007909999999999999,0.007909999999999999,0.007909999999999999,0.007909999999999999,1060564,0
6,1972-01-27,0.01592,0.01592,0.01592,0.01592,15908552,0
7,1972-01-28,0.01592,0.01592,0.01592,0.01592,10302687,0
8,1972-01-31,0.01592,0.01592,0.01592,0.01592,9090602,0
9,1972-02-01,0.01592,0.01592,0.01592,0.01592,5908890,0
10,1972-02-02,0.01592,0.01592,0.01592,0.01592,9242109,0
11,1972-02-03,0.01592,0.01592,0.01592,0.01592,3030198,0
12,1972-02-04,0.01592,0.01592,0.01592,0.01592,2272648,0
13,1972-02-07,0.01592,0.01592,0.01592,0.01592,8030028,0
14,1972-02-08,0.01592,0.01592,0.01592,0.01592,2272648,0
15,1972-02-09,0.01592,0.01592,0.01592,0.01592,2727178,0
16,1972-02-10,0.01592,0.01592,0.01592,0.01592,3939259,0
17,1972-02-11,0.01592,0.01592,0.01592,0.01592,5151343,0
18,1972-02-14,0.01592,0.01592,0.01592,0.01592,1666608,0
19,1972-02-15,0.01592,0.01592,0.01592,0.01592,7878523,0
20,1972-02-16,0.01592,0.01592,0.01592,0.01592,12120805,0
21,1972-02-17,0.01592,0.01592,0.01592,0.01592,6363424,0
22,1972-02-18,0.01592,0.01592,0.01592,0.01592,17272147,0
23,1972-02-22,0.01592,0.01592,0.01592,0.01592,18332716,0
24,1972-02-23,0.01592,0.01592,0.01592,0.01592,15908552,0
25,1972-02-24,0.01592,0.01592,0.01592,0.01592,10605703,0
26,1972-02-25,0.01592,0.01592,0.01592,0.01592,6363424,0
27,1972-02-28,0.01592,0.01592,0.01592,0.01592,8939091,0
28,1972-02-29,0.01592,0.01592,0.01592,0.01592,7120970,0
29,1972-03-01,0.01592,0.01592,0.01592,0.01592,22878014,0
30,1972-03-02,0.01592,0.01592,0.01592,0.01592,4696807,0
31,1972-03-03,0.01592,0.01592,0.01592,0.01592,8181541,0
32,1972-03-06,0.01592,0.01592,0.01592,0.01592,6060405,0
33,1972-03-07,0.01592,0.01592,0.01592,0.01592,3636238,0
34,1972-03-08,0.01592,0.01592,0.01592,0.01592,4999826,0
35,1972-03-09,0.01592,0.01592,0.01592,0.01592,3636238,0
36,1972-03-10,0.01592,0.01592,0.01592,0.01592,1818120,0
37,1972-03-13,0.01592,0.01592,0.01592,0.01592,1212079,0
38,1972-03-14,0.01592,0.01592,0.01592,0.01592,6363424,0
39,1972-03-15,0.01592,0.01592,0.01592,0.01592,1515101,0
40,1972-03-16,0.01592,0.01592,0.01592,0.01592,1515101,0
41,1972-03-17,0.01592,0.01592,0.01592,0.01592,1363588,0
42,1972-03-20,0.01592,0.01592,0.01592,0.01592,303020,0
43,1972-03-21,0.01592,0.01592,0.01592,0.01592,2424162,0
44,1972-03-22,0.01592,0.01592,0.01592,0.01592,12272315,0
45,1972-03-23,0.01592,0.01592,0.01592,0.01592,5151343,0
46,1972-03-24,0.01592,0.01592,0.01592,0.01592,5454365,0
47,1972-03-27,0.01592,0.01592,0.01592,0.01592,4090767,0
48,1972-03-28,0.01592,0.01592,0.01592,0.01592,1969629,0
49,1972-03-29,0.01592,0.01592,0.01592,0.01592,1818120,0
50,1972-03-30,0.01592,0.01592,0.01592,0.01592,151503,0
51,1972-04-03,0.01592,0.01592,0.01592,0.01592,1969629,0
52,1972-04-04,0.01592,0.01592,0.01592,0.01592,3787746,0
53,1972-04-05,0.01592,0.01592,0.01592,0.01592,2727178,0
54,1972-04-06,0.01592,0.01592,0.01592,0.01592,6817947,0
55,1972-04-07,0.01592,0.01592,0.01592,0.01592,5454365,0
56,1972-04-10,0.01592,0.01592,0.01592,0.01592,4242279,0
57,1972-04-11,0.01592,0.01592,0.01592,0.01592,4393788,0
58,1972-04-12,0.01592,0.01592,0.01592,0.01592,1666608,0
