index,Date,Open,High,Low,Close,Volume,OpenInt
60,1962-03-28,5.9537,5.9951,5.9537,5.9787,395202,0
61,1962-03-29,5.9787,6.0036,5.9622,5.9622,278438,0
62,1962-03-30,5.9537,5.9537,5.8784,5.9037,529933,0
63,1962-04-02,5.9037,5.9037,5.8282,5.8282,449093,0
64,1962-04-03,5.8201,5.8201,5.6195,5.6781,1095790,0
65,1962-04-04,5.6781,5.7283,5.6528,5.6528,781425,0
66,1962-04-05,5.6867,5.7782,5.6867,5.7782,1095790,0
67,1962-04-06,5.7782,5.8201,5.7283,5.7698,520952,0
68,1962-04-09,5.7698,5.8036,5.7283,5.7782,26945,0
69,1962-04-10,5.7782,5.7949,5.7453,5.7949,314365,0
70,1962-04-11,5.7949,5.8453,5.7197,5.7197,637714,0
71,1962-04-12,5.7197,5.7283,5.6614,5.6614,485021,0
72,1962-04-13,5.6614,5.7453,5.6528,5.7453,754479,0
73,1962-04-16,5.7453,5.7782,5.6781,5.7367,610767,0
74,1962-04-17,5.7367,5.7616,5.7116,5.7616,359274,0
75,1962-04-18,5.7616,5.8115,5.7453,5.7533,511969,0
76,1962-04-19,5.7533,5.7782,5.7283,5.7533,467056,0
77,1962-04-23,5.7533,5.7616,5.7283,5.7453,377238,0
78,1962-04-24,5.7453,5.7866,5.7367,5.7453,547896,0
79,1962-04-25,5.7453,5.7616,5.6781,5.6781,556875,0
80,1962-04-26,5.6781,5.6781,5.5361,5.5361,1113756,0
81,1962-04-27,5.5361,5.5946,5.319,5.3774,1958052,0
82,1962-04-30,5.3774,5.4276,4.9849,5.0353,2811329,0
83,1962-05-01,5.0353,5.1519,4.7679,5.1189,6368155,0
84,1962-05-02,5.2104,5.3608,5.2104,5.2356,3062824,0
85,1962-05-03,5.2356,5.3608,5.2021,5.3441,1634705,0
86,1962-05-04,5.3441,5.3858,5.294,5.3858,934118,0
87,1962-05-07,5.3858,5.4276,5.2689,5.2689,996989,0
88,1962-05-08,5.2607,5.2607,5.0937,5.0937,1239500,0
89,1962-05-09,5.0937,5.1436,4.9849,5.0017,1922122,0
90,1962-05-10,5.0017,5.0937,4.9766,5.0184,2290381,0
91,1962-05-11,5.0184,5.1018,4.9183,4.9431,2272418,0
92,1962-05-14,4.9431,5.0353,4.8597,5.0353,3269406,0
93,1962-05-15,5.0353,5.1355,5.0099,5.0099,2020925,0
94,1962-05-16,5.0099,5.0937,5.0099,5.0685,1059863,0
95,1962-05-17,5.0685,5.0685,4.9519,4.9766,1167646,0
96,1962-05-18,4.9766,5.0017,4.9349,5.0017,880225,0
97,1962-05-21,5.0017,5.0017,4.9431,4.9849,476040,0
98,1962-05-22,4.9849,4.9849,4.8182,4.8182,1203573,0
99,1962-05-23,4.8182,4.8514,4.6008,4.6008,3467008,0
100,1962-05-24,4.6008,4.7179,4.4089,4.4089,4975965,0
101,1962-05-25,4.4089,4.5089999999999995,4.3005,4.4171,5155603,0
102,1962-05-28,4.4004,4.4004,3.9329,3.9997,5173565,0
103,1962-05-29,4.0497,4.2919,4.0497,4.2417,4625670,0
104,1962-05-31,4.3251,4.4341,4.3251,4.3504,4949019,0
105,1962-06-01,4.3339,4.3339,4.2417,4.2669999999999995,2892169,0
106,1962-06-04,4.2084,4.2084,3.9913,3.9913,2173616,0
107,1962-06-05,3.9913,4.1415,3.9163,4.0332,3790357,0
108,1962-06-06,4.0332,4.1668,4.0165,4.0497,3449043,0
109,1962-06-07,4.0749,4.1415,4.0749,4.1,1473030,0
110,1962-06-08,4.1,4.1668,4.1,4.1169,1401172,0
111,1962-06-11,4.1169,4.1249,3.9747,3.9829,1428119,0
112,1962-06-12,3.9329,3.9329,3.7159,3.7159,3987959,0
113,1962-06-13,3.7159,3.7993,3.5738,3.5738,5254404,0
114,1962-06-14,3.5738,3.6741,3.3235,3.3901,8002857,0
115,1962-06-15,3.3901,3.7073,3.3316,3.6992,7580713,0
116,1962-06-18,3.6992,3.7658,3.5155,3.6572,5712478,0
117,1962-06-19,3.6572,3.7241,3.6156,3.7241,2523914,0
118,1962-06-20,3.7241,3.7993,3.6321,3.6321,3664610,0
119,1962-06-21,3.5906,3.5906,3.4905,3.4987,4446034,0
120,1962-06-22,3.4987,3.5655,3.4402,3.5489,4041848,0
121,1962-06-25,3.5489,3.7241,3.4987,3.6824,4544836,0
122,1962-06-26,3.6824,3.7577,3.5489,3.5489,3871193,0
123,1962-06-27,3.5489,3.6908,3.5489,3.6908,3547844,0
124,1962-06-28,3.7159,3.8662,3.7159,3.8163,4895123,0
125,1962-06-29,3.8163,3.8492,3.7489999999999997,3.7577,3386174,0
126,1962-07-02,3.7577,3.8828,3.7489999999999997,3.8828,1670627,0
127,1962-07-03,3.8828,3.9246,3.8578,3.8996,3098750,0
128,1962-07-05,3.8996,3.9163,3.8662,3.8828,2416127,0
129,1962-07-06,3.8329,3.8329,3.7910000000000004,3.8243,1949069,0
130,1962-07-09,3.8243,3.8828,3.7828,3.8828,2263439,0
131,1962-07-10,3.9496,4.0079,3.9496,3.9747,3655625,0
132,1962-07-11,3.9747,4.15,3.9579,4.15,3969991,0
133,1962-07-12,4.1581,4.3171,4.1581,4.2,3952029,0
134,1962-07-13,4.2,4.2252,4.1249,4.1668,2523914,0
